gene_id,GO,level
Solyc00g500019,GO:0009522,cellular_component
Solyc00g500019,GO:0009579,cellular_component
Solyc00g500019,GO:0015979,biological_process
Solyc00g500019,GO:0016021,cellular_component
Solyc00g180440,GO:0003735,molecular_function
Solyc00g180440,GO:0005622,cellular_component
Solyc00g180440,GO:0005840,cellular_component
Solyc00g180440,GO:0006412,biological_process
Solyc00g180440,GO:0019843,molecular_function
Solyc00g500024,GO:0009521,cellular_component
Solyc00g500024,GO:0009767,biological_process
Solyc00g500024,GO:0016020,cellular_component
Solyc00g500024,GO:0016168,molecular_function
Solyc00g500024,GO:0019684,biological_process
Solyc00g500026,GO:0009523,cellular_component
Solyc00g500026,GO:0015979,biological_process
Solyc00g500026,GO:0016020,cellular_component
Solyc00g500026,GO:0042301,molecular_function
Solyc00g500026,GO:0050821,biological_process
Solyc00g500027,GO:0009055,molecular_function
Solyc00g500027,GO:0016020,cellular_component
Solyc00g500027,GO:0016491,molecular_function
Solyc00g500028,GO:0009055,molecular_function
Solyc00g500028,GO:0016020,cellular_component
Solyc00g500028,GO:0016491,molecular_function
Solyc00g500029,GO:0003735,molecular_function
Solyc00g500029,GO:0005622,cellular_component
Solyc00g500029,GO:0005840,cellular_component
Solyc00g500029,GO:0006412,biological_process
Solyc00g500030,GO:0003735,molecular_function
Solyc00g500030,GO:0005840,cellular_component
Solyc00g500030,GO:0006412,biological_process
Solyc00g500031,GO:0003735,molecular_function
Solyc00g500031,GO:0005840,cellular_component
Solyc00g500031,GO:0006412,biological_process
Solyc00g500032,GO:0003735,molecular_function
Solyc00g500032,GO:0005840,cellular_component
Solyc00g500032,GO:0006412,biological_process
Solyc00g500035,GO:0003735,molecular_function
Solyc00g500035,GO:0005840,cellular_component
Solyc00g500035,GO:0006412,biological_process
Solyc00g500036,GO:0003735,molecular_function
Solyc00g500036,GO:0005840,cellular_component
Solyc00g500036,GO:0006412,biological_process
Solyc00g500039,GO:0003735,molecular_function
Solyc00g500039,GO:0005840,cellular_component
Solyc00g500039,GO:0006412,biological_process
Solyc00g500040,GO:0016021,cellular_component
Solyc00g500041,GO:0016020,cellular_component
Solyc00g500041,GO:0055114,biological_process
Solyc00g500043,GO:0016021,cellular_component
Solyc00g500044,GO:0003735,molecular_function
Solyc00g500044,GO:0005622,cellular_component
Solyc00g500044,GO:0005840,cellular_component
Solyc00g500044,GO:0006412,biological_process
Solyc00g277510,GO:0009772,biological_process
Solyc00g277510,GO:0019684,biological_process
Solyc00g277510,GO:0045156,molecular_function
Solyc00g500051,GO:0003735,molecular_function
Solyc00g500051,GO:0005622,cellular_component
Solyc00g500051,GO:0005840,cellular_component
Solyc00g500051,GO:0006412,biological_process
Solyc00g500053,GO:0003677,molecular_function
Solyc00g500053,GO:0003899,molecular_function
Solyc00g500053,GO:0006351,biological_process
Solyc00g500054,GO:0009521,cellular_component
Solyc00g500054,GO:0009767,biological_process
Solyc00g500054,GO:0016020,cellular_component
Solyc00g500054,GO:0016168,molecular_function
Solyc00g500054,GO:0019684,biological_process
Solyc00g500056,GO:0009522,cellular_component
Solyc00g500056,GO:0009579,cellular_component
Solyc00g500056,GO:0015979,biological_process
Solyc00g500056,GO:0016021,cellular_component
Solyc00g500057,GO:0009522,cellular_component
Solyc00g500057,GO:0009579,cellular_component
Solyc00g500057,GO:0015979,biological_process
Solyc00g500057,GO:0016021,cellular_component
Solyc00g500058,GO:0016020,cellular_component
Solyc00g500058,GO:0055114,biological_process
Solyc00g500061,GO:0003735,molecular_function
Solyc00g500061,GO:0005840,cellular_component
Solyc00g500061,GO:0006412,biological_process
Solyc00g500064,GO:0009523,cellular_component
Solyc00g500064,GO:0015979,biological_process
Solyc00g500064,GO:0016020,cellular_component
Solyc00g500064,GO:0042301,molecular_function
Solyc00g500064,GO:0050821,biological_process
Solyc00g500066,GO:0003735,molecular_function
Solyc00g500066,GO:0005840,cellular_component
Solyc00g500066,GO:0006412,biological_process
Solyc00g500068,GO:0009055,molecular_function
Solyc00g500068,GO:0016020,cellular_component
Solyc00g500068,GO:0016491,molecular_function
Solyc00g500071,GO:0009521,cellular_component
Solyc00g500071,GO:0009767,biological_process
Solyc00g500071,GO:0016020,cellular_component
Solyc00g500071,GO:0016168,molecular_function
Solyc00g500071,GO:0019684,biological_process
Solyc00g500072,GO:0009523,cellular_component
Solyc00g500072,GO:0015979,biological_process
Solyc00g500072,GO:0016020,cellular_component
Solyc00g500072,GO:0042301,molecular_function
Solyc00g500072,GO:0050821,biological_process
Solyc00g500073,GO:0009055,molecular_function
Solyc00g500073,GO:0016020,cellular_component
Solyc00g500073,GO:0016491,molecular_function
Solyc00g500074,GO:0009522,cellular_component
Solyc00g500074,GO:0009579,cellular_component
Solyc00g500074,GO:0015979,biological_process
Solyc00g500074,GO:0016021,cellular_component
Solyc00g500075,GO:0003735,molecular_function
Solyc00g500075,GO:0005840,cellular_component
Solyc00g500075,GO:0006412,biological_process
Solyc00g500076,GO:0003735,molecular_function
Solyc00g500076,GO:0005840,cellular_component
Solyc00g500076,GO:0006412,biological_process
Solyc00g500077,GO:0003735,molecular_function
Solyc00g500077,GO:0005840,cellular_component
Solyc00g500077,GO:0006412,biological_process
Solyc00g500079,GO:0003735,molecular_function
Solyc00g500079,GO:0005840,cellular_component
Solyc00g500079,GO:0006412,biological_process
Solyc00g500080,GO:0003735,molecular_function
Solyc00g500080,GO:0005840,cellular_component
Solyc00g500080,GO:0006412,biological_process
Solyc00g500082,GO:0003735,molecular_function
Solyc00g500082,GO:0005840,cellular_component
Solyc00g500082,GO:0006412,biological_process
Solyc00g500083,GO:0009523,cellular_component
Solyc00g500083,GO:0015979,biological_process
Solyc00g500083,GO:0016020,cellular_component
Solyc00g500083,GO:0042301,molecular_function
Solyc00g500083,GO:0050821,biological_process
Solyc00g500084,GO:0016021,cellular_component
Solyc00g500085,GO:0017004,biological_process
Solyc00g500085,GO:0020037,molecular_function
Solyc00g500086,GO:0016020,cellular_component
Solyc00g500086,GO:0055114,biological_process
Solyc00g500087,GO:0016651,molecular_function
Solyc00g500087,GO:0048038,molecular_function
Solyc00g500087,GO:0051287,molecular_function
Solyc00g500087,GO:0055114,biological_process
Solyc00g500088,GO:0016021,cellular_component
Solyc00g500091,GO:0005634,cellular_component
Solyc00g500091,GO:0006511,biological_process
Solyc00g500091,GO:0007275,biological_process
Solyc00g500096,GO:0005634,cellular_component
Solyc00g500096,GO:0006511,biological_process
Solyc00g500096,GO:0007275,biological_process
Solyc00g500101,GO:0016021,cellular_component
Solyc00g500101,GO:0022900,biological_process
Solyc00g500102,GO:0016021,cellular_component
Solyc00g500102,GO:0022900,biological_process
Solyc00g500103,GO:0008137,molecular_function
Solyc00g500103,GO:0042773,biological_process
Solyc00g500103,GO:0055114,biological_process
Solyc00g500112,GO:0008137,molecular_function
Solyc00g500112,GO:0042773,biological_process
Solyc00g500112,GO:0055114,biological_process
Solyc00g500113,GO:0003723,molecular_function
Solyc00g500113,GO:0003735,molecular_function
Solyc00g500113,GO:0005622,cellular_component
Solyc00g500113,GO:0005840,cellular_component
Solyc00g500113,GO:0006412,biological_process
Solyc00g500115,GO:0008137,molecular_function
Solyc00g500115,GO:0055114,biological_process
Solyc00g500118,GO:0016021,cellular_component
Solyc00g500118,GO:0022900,biological_process
Solyc00g500123,GO:0016020,cellular_component
Solyc00g500123,GO:0055114,biological_process
Solyc00g500124,GO:0016651,molecular_function
Solyc00g500124,GO:0048038,molecular_function
Solyc00g500124,GO:0051287,molecular_function
Solyc00g500124,GO:0055114,biological_process
Solyc00g500126,GO:0016021,cellular_component
Solyc00g500127,GO:0009522,cellular_component
Solyc00g500127,GO:0009579,cellular_component
Solyc00g500127,GO:0015979,biological_process
Solyc00g500127,GO:0016021,cellular_component
Solyc00g500130,GO:0009772,biological_process
Solyc00g500130,GO:0019684,biological_process
Solyc00g500130,GO:0045156,molecular_function
Solyc00g500134,GO:0003735,molecular_function
Solyc00g500134,GO:0005622,cellular_component
Solyc00g500134,GO:0005840,cellular_component
Solyc00g500134,GO:0006412,biological_process
Solyc00g500136,GO:0009521,cellular_component
Solyc00g500136,GO:0009767,biological_process
Solyc00g500136,GO:0016020,cellular_component
Solyc00g500136,GO:0016168,molecular_function
Solyc00g500136,GO:0019684,biological_process
Solyc00g500138,GO:0009522,cellular_component
Solyc00g500138,GO:0009579,cellular_component
Solyc00g500138,GO:0015979,biological_process
Solyc00g500138,GO:0016021,cellular_component
Solyc00g500139,GO:0009522,cellular_component
Solyc00g500139,GO:0009579,cellular_component
Solyc00g500139,GO:0015979,biological_process
Solyc00g500139,GO:0016021,cellular_component
Solyc00g500140,GO:0015986,biological_process
Solyc00g500141,GO:0005524,molecular_function
Solyc00g500141,GO:0009507,cellular_component
Solyc00g500142,GO:0005524,molecular_function
Solyc00g500142,GO:0009507,cellular_component
Solyc00g500148,GO:0005524,molecular_function
Solyc00g500148,GO:0009507,cellular_component
Solyc00g500149,GO:0005524,molecular_function
Solyc00g500149,GO:0009507,cellular_component
Solyc00g500150,GO:0003735,molecular_function
Solyc00g500150,GO:0005840,cellular_component
Solyc00g500150,GO:0006412,biological_process
Solyc00g500151,GO:0009772,biological_process
Solyc00g500151,GO:0019684,biological_process
Solyc00g500151,GO:0045156,molecular_function
Solyc00g500152,GO:0003735,molecular_function
Solyc00g500152,GO:0005840,cellular_component
Solyc00g500152,GO:0006412,biological_process
Solyc00g500153,GO:0003735,molecular_function
Solyc00g500153,GO:0005840,cellular_component
Solyc00g500153,GO:0006412,biological_process
Solyc00g500154,GO:0005524,molecular_function
Solyc00g500154,GO:0009507,cellular_component
Solyc00g500155,GO:0009522,cellular_component
Solyc00g500155,GO:0009579,cellular_component
Solyc00g500155,GO:0015979,biological_process
Solyc00g500155,GO:0016021,cellular_component
Solyc00g500156,GO:0003735,molecular_function
Solyc00g500156,GO:0005840,cellular_component
Solyc00g500156,GO:0006412,biological_process
Solyc00g500157,GO:0005524,molecular_function
Solyc00g500157,GO:0009507,cellular_component
Solyc00g500158,GO:0009055,molecular_function
Solyc00g500158,GO:0016020,cellular_component
Solyc00g500158,GO:0016491,molecular_function
Solyc00g230080,GO:0009772,biological_process
Solyc00g230080,GO:0019684,biological_process
Solyc00g230080,GO:0045156,molecular_function
Solyc00g500168,GO:0016021,cellular_component
Solyc00g500173,GO:0000276,cellular_component
Solyc00g500173,GO:0015078,molecular_function
Solyc00g500173,GO:0015986,biological_process
Solyc00g019730,GO:0015002,molecular_function
Solyc00g019730,GO:0016020,cellular_component
Solyc00g500184,GO:0016651,molecular_function
Solyc00g500184,GO:0048038,molecular_function
Solyc00g500184,GO:0051287,molecular_function
Solyc00g500184,GO:0055114,biological_process
Solyc00g094530,GO:0016020,cellular_component
Solyc00g094530,GO:0055114,biological_process
Solyc00g049210,GO:0017004,biological_process
Solyc00g049210,GO:0020037,molecular_function
Solyc00g500186,GO:0004129,molecular_function
Solyc00g500186,GO:0009060,biological_process
Solyc00g500186,GO:0016021,cellular_component
Solyc00g500186,GO:0020037,molecular_function
Solyc00g500186,GO:0055114,biological_process
Solyc00g021660,GO:0033926,molecular_function
Solyc00g500190,GO:0003735,molecular_function
Solyc00g500190,GO:0005622,cellular_component
Solyc00g500190,GO:0005840,cellular_component
Solyc00g500190,GO:0006412,biological_process
Solyc00g500191,GO:0016021,cellular_component
Solyc00g500192,GO:0016651,molecular_function
Solyc00g500192,GO:0048038,molecular_function
Solyc00g500192,GO:0051287,molecular_function
Solyc00g500192,GO:0055114,biological_process
Solyc00g500193,GO:0016020,cellular_component
Solyc00g500193,GO:0055114,biological_process
Solyc00g500194,GO:0017004,biological_process
Solyc00g500194,GO:0020037,molecular_function
Solyc00g500196,GO:0016021,cellular_component
Solyc00g500199,GO:0009522,cellular_component
Solyc00g500199,GO:0009579,cellular_component
Solyc00g500199,GO:0015979,biological_process
Solyc00g500199,GO:0016021,cellular_component
Solyc00g500200,GO:0009772,biological_process
Solyc00g500200,GO:0019684,biological_process
Solyc00g500200,GO:0045156,molecular_function
Solyc00g500204,GO:0003735,molecular_function
Solyc00g500204,GO:0005622,cellular_component
Solyc00g500204,GO:0005840,cellular_component
Solyc00g500204,GO:0006412,biological_process
Solyc00g500206,GO:0009521,cellular_component
Solyc00g500206,GO:0009767,biological_process
Solyc00g500206,GO:0016020,cellular_component
Solyc00g500206,GO:0016168,molecular_function
Solyc00g500206,GO:0019684,biological_process
Solyc00g500208,GO:0009522,cellular_component
Solyc00g500208,GO:0009579,cellular_component
Solyc00g500208,GO:0015979,biological_process
Solyc00g500208,GO:0016021,cellular_component
Solyc00g500209,GO:0009522,cellular_component
Solyc00g500209,GO:0009579,cellular_component
Solyc00g500209,GO:0015979,biological_process
Solyc00g500209,GO:0016021,cellular_component
Solyc00g500210,GO:0016021,cellular_component
Solyc00g500221,GO:0003677,molecular_function
Solyc00g047200,GO:0009055,molecular_function
Solyc00g047200,GO:0016020,cellular_component
Solyc00g047200,GO:0016491,molecular_function
Solyc00g500225,GO:0008137,molecular_function
Solyc00g500225,GO:0055114,biological_process
Solyc00g230070,GO:0009521,cellular_component
Solyc00g230070,GO:0009767,biological_process
Solyc00g230070,GO:0016020,cellular_component
Solyc00g230070,GO:0016168,molecular_function
Solyc00g230070,GO:0019684,biological_process
Solyc00g019950,GO:0008137,molecular_function
Solyc00g019950,GO:0055114,biological_process
Solyc00g500242,GO:0017004,biological_process
Solyc00g500242,GO:0020037,molecular_function
Solyc00g500244,GO:0016021,cellular_component
Solyc00g500244,GO:0022900,biological_process
Solyc00g028960,GO:0009055,molecular_function
Solyc00g028960,GO:0015035,molecular_function
Solyc00g028960,GO:0045454,biological_process
Solyc00g500249,GO:0017004,biological_process
Solyc00g500249,GO:0020037,molecular_function
Solyc00g500250,GO:0004129,molecular_function
Solyc00g500250,GO:0009060,biological_process
Solyc00g500250,GO:0016021,cellular_component
Solyc00g500250,GO:0020037,molecular_function
Solyc00g500250,GO:0055114,biological_process
Solyc00g021630,GO:0008137,molecular_function
Solyc00g021630,GO:0055114,biological_process
Solyc00g500258,GO:0004568,molecular_function
Solyc00g500258,GO:0006032,biological_process
Solyc00g500258,GO:0016998,biological_process
Solyc00g500261,GO:0008137,molecular_function
Solyc00g500261,GO:0055114,biological_process
Solyc00g500273,GO:0003735,molecular_function
Solyc00g500273,GO:0005840,cellular_component
Solyc00g500273,GO:0006412,biological_process
Solyc00g500275,GO:0016021,cellular_component
Solyc00g500275,GO:0022900,biological_process
Solyc00g500277,GO:0017004,biological_process
Solyc00g500277,GO:0020037,molecular_function
Solyc00g500278,GO:0016021,cellular_component
Solyc00g500291,GO:0003735,molecular_function
Solyc00g500291,GO:0005622,cellular_component
Solyc00g500291,GO:0005840,cellular_component
Solyc00g500291,GO:0006412,biological_process
Solyc00g500296,GO:0009772,biological_process
Solyc00g500296,GO:0019684,biological_process
Solyc00g500296,GO:0045156,molecular_function
Solyc00g500297,GO:0003735,molecular_function
Solyc00g500297,GO:0005840,cellular_component
Solyc00g500297,GO:0006412,biological_process
Solyc00g500298,GO:0003735,molecular_function
Solyc00g500298,GO:0005840,cellular_component
Solyc00g500298,GO:0006412,biological_process
Solyc00g500302,GO:0000276,cellular_component
Solyc00g500302,GO:0015078,molecular_function
Solyc00g500302,GO:0015986,biological_process
Solyc00g500303,GO:0015002,molecular_function
Solyc00g500303,GO:0016020,cellular_component
Solyc00g500310,GO:0016021,cellular_component
Solyc00g500310,GO:0022900,biological_process
Solyc00g500320,GO:0009772,biological_process
Solyc00g500320,GO:0019684,biological_process
Solyc00g500320,GO:0045156,molecular_function
Solyc00g500321,GO:0015078,molecular_function
Solyc00g500321,GO:0015986,biological_process
Solyc00g500321,GO:0045263,cellular_component
Solyc00g500322,GO:0015078,molecular_function
Solyc00g500322,GO:0015986,biological_process
Solyc00g500322,GO:0045263,cellular_component
Solyc00g500324,GO:0016021,cellular_component
Solyc00g500329,GO:0009772,biological_process
Solyc00g500329,GO:0019684,biological_process
Solyc00g500329,GO:0045156,molecular_function
Solyc00g500335,GO:0015078,molecular_function
Solyc00g500335,GO:0015986,biological_process
Solyc00g500335,GO:0045263,cellular_component
Solyc00g500346,GO:0016021,cellular_component
Solyc00g500347,GO:0017004,biological_process
Solyc00g500347,GO:0020037,molecular_function
Solyc00g500348,GO:0017004,biological_process
Solyc00g500348,GO:0020037,molecular_function
Solyc00g500349,GO:0004129,molecular_function
Solyc00g500349,GO:0009060,biological_process
Solyc00g500349,GO:0016021,cellular_component
Solyc00g500349,GO:0020037,molecular_function
Solyc00g500349,GO:0055114,biological_process
Solyc00g032030,GO:0005634,cellular_component
Solyc00g032030,GO:0006511,biological_process
Solyc00g032030,GO:0007275,biological_process
Solyc00g500357,GO:0016021,cellular_component
Solyc00g500359,GO:0016021,cellular_component
Solyc00g500359,GO:0022900,biological_process
Solyc00g500362,GO:0003735,molecular_function
Solyc00g500362,GO:0005622,cellular_component
Solyc00g500362,GO:0005840,cellular_component
Solyc00g500362,GO:0006412,biological_process
Solyc00g500363,GO:0003735,molecular_function
Solyc00g500363,GO:0005622,cellular_component
Solyc00g500363,GO:0005840,cellular_component
Solyc00g500363,GO:0006412,biological_process
Solyc01g005000,GO:0016831,molecular_function
Solyc01g005000,GO:0019752,biological_process
Solyc01g005000,GO:0030170,molecular_function
Solyc01g005020,GO:0006812,biological_process
Solyc01g005020,GO:0015299,molecular_function
Solyc01g005020,GO:0016021,cellular_component
Solyc01g005020,GO:0055085,biological_process
Solyc01g005030,GO:0016021,cellular_component
Solyc01g005070,GO:0005543,molecular_function
Solyc01g005100,GO:0016491,molecular_function
Solyc01g005100,GO:0055114,biological_process
Solyc01g005110,GO:0006486,biological_process
Solyc01g005120,GO:0004553,molecular_function
Solyc01g005120,GO:0005975,biological_process
Solyc01g005160,GO:0004842,molecular_function
Solyc01g005160,GO:0016567,biological_process
Solyc01g005210,GO:0003824,molecular_function
Solyc01g005210,GO:0005992,biological_process
Solyc01g005230,GO:0008168,molecular_function
Solyc01g005250,GO:0016620,molecular_function
Solyc01g005250,GO:0051287,molecular_function
Solyc01g005250,GO:0055114,biological_process
Solyc01g005300,GO:0005515,molecular_function
Solyc01g005310,GO:0005525,molecular_function
Solyc01g005330,GO:0007010,biological_process
Solyc01g005330,GO:0008017,molecular_function
Solyc01g005340,GO:0005515,molecular_function
Solyc01g005350,GO:0008168,molecular_function
Solyc01g005360,GO:0008168,molecular_function
Solyc01g005370,GO:0005509,molecular_function
Solyc01g005380,GO:0005515,molecular_function
Solyc01g005390,GO:0016787,molecular_function
Solyc01g005430,GO:0005515,molecular_function
Solyc01g005450,GO:0005515,molecular_function
